name,trades,wins,reversals,win_rate,reversal_rate,avg_entry,avg_exit,ev_per_share,ev_invested,total_pnl,worst_loss
FULL_PERSIST5_OPPle20_pmax93_slip1,2231,2081,150,0.9328,0.0672,91.23,0,0.0205,0.0224,45.64,-0.93
PERSIST_3s,2745,2536,209,0.9239,0.0761,90.38,0,0.0201,0.0222,55.12,-0.96
OPP_le20_in20s,4307,3974,333,0.9227,0.0773,90.28,0,0.0198,0.022,85.47,-0.96
PERSIST_2s,3079,2841,238,0.9227,0.0773,90.37,0,0.019,0.0211,58.65,-0.96
OPP_le20_in15s,4414,4061,353,0.92,0.08,90.29,0,0.0172,0.019,75.82,-0.97
PERSIST_5s_pmax93_slip1,2308,2143,165,0.9285,0.0715,91.23,0,0.0162,0.0177,37.35,-0.93
COMBO_PERSIST5_pmax93_slip1,2308,2143,165,0.9285,0.0715,91.23,0,0.0162,0.0177,37.35,-0.93
OPP_le25_in20s,4573,4200,373,0.9184,0.0816,90.3,0,0.0154,0.0171,70.61,-0.97
COMBO_PERSIST5_OPPBRK25,2376,2184,168,0.9192,0.0707,90.4,82.76,0.0152,0.0168,62.95,-0.96
OPP_le20_in10s,4517,4145,372,0.9176,0.0824,90.29,0,0.0148,0.0164,66.81,-0.97
OPP_le25_in15s,4620,4239,381,0.9175,0.0825,90.3,0,0.0145,0.0161,67.15,-0.97
TP_99c,4838,4441,430,0.9179,0.0889,90.35,99.0,0.0145,0.016,34.94,-0.98
OPP_le30_in15s,4701,4311,390,0.917,0.083,90.31,0,0.014,0.0155,65.62,-0.97
OPP_le30_in20s,4680,4292,388,0.9171,0.0829,90.31,0,0.014,0.0155,65.66,-0.97
OPP_le25_in10s,4680,4284,396,0.9154,0.0846,90.3,0,0.0124,0.0137,57.85,-0.97
OPP_le30_in10s,4749,4341,408,0.9141,0.0859,90.31,0,0.011,0.0122,52.12,-0.97
PERSIST_3s_pmax93_slip1,2669,2464,205,0.9232,0.0768,91.22,0,0.011,0.0121,29.34,-0.93
MOM_dside10_dopp0,1820,1670,150,0.9176,0.0824,90.67,0,0.0109,0.012,19.79,-0.97
COMBO_PERSIST8_OPPBRK20,2026,1854,124,0.9151,0.0612,90.43,86.03,0.0108,0.012,73.57,-0.96
MOM_dside10_dopp5,1826,1675,151,0.9173,0.0827,90.67,0,0.0106,0.0117,19.3,-0.97
EXEC_slip0_pmax93,4697,4282,415,0.9116,0.0884,90.19,0,0.0097,0.0108,45.58,-0.93
PERSIST_2s_pmax93_slip1,2994,2760,234,0.9218,0.0782,91.21,0,0.0098,0.0107,29.22,-0.93
MOM_dside10_dopp10,1831,1678,153,0.9164,0.0836,90.69,0,0.0096,0.0105,17.49,-0.98
EXEC_slip0_pmax95,4782,4358,424,0.9113,0.0887,90.27,0,0.0087,0.0096,41.37,-0.95
BASELINE,4838,4408,430,0.9111,0.0889,90.35,0,0.0076,0.0085,37.01,-0.98
EXEC_slip1_pmax93,4697,4282,415,0.9116,0.0884,91.18,0,-0.0001,-0.0001,-0.62,-0.93
EXEC_slip1_pmax95,4782,4358,424,0.9113,0.0887,91.26,0,-0.0013,-0.0014,-6.14,-0.95
EXEC_slip1,4838,4408,430,0.9111,0.0889,91.35,0,-0.0024,-0.0026,-11.37,-0.99
OPPBRK_30c_in10s,4838,4343,430,0.8977,0.0889,90.35,75.03,-0.0058,-0.0064,36.79,-0.97
COMBO_PERSIST5_OPPBRK20,2376,2132,168,0.8973,0.0707,90.4,84.96,-0.0067,-0.0074,67.05,-0.96
MOM_dside15_dopp0,976,881,95,0.9027,0.0973,90.95,0,-0.0068,-0.0075,-6.67,-0.97
MOM_dside15_dopp5,981,885,96,0.9021,0.0979,90.95,0,-0.0074,-0.0081,-7.26,-0.97
MOM_dside15_dopp10,986,888,98,0.9006,0.0994,90.98,0,-0.0092,-0.0101,-9.07,-0.98
EXEC_slip2_pmax93,4697,4282,415,0.9116,0.0884,92.13,0,-0.0096,-0.0104,-45.21,-0.93
EXEC_slip2_pmax95,4782,4358,424,0.9113,0.0887,92.24,0,-0.0111,-0.012,-53.11,-0.95
EXEC_slip2,4838,4408,430,0.9111,0.0889,92.35,0,-0.0124,-0.0134,-59.75,-1.0
OPPBRK_30c_in20s,4838,4294,430,0.8876,0.0889,90.35,74.46,-0.0159,-0.0176,37.6,-0.97
EXEC_slip3_pmax93,4697,4282,415,0.9116,0.0884,93.0,0,-0.0184,-0.0197,-86.21,-0.93
MOM_dside20_dopp0,594,531,63,0.8939,0.1061,91.27,0,-0.0188,-0.0206,-11.16,-0.97
OPPBRK_25c_in10s,4838,4278,430,0.8842,0.0889,90.35,78.66,-0.0192,-0.0213,34.81,-0.97
MOM_dside20_dopp5,599,535,64,0.8932,0.1068,91.28,0,-0.0196,-0.0215,-11.75,-0.97
