window_id,trade_type,side,entry_price,entry_time,reversal_score,won,gross_pnl,fee,net_pnl
25_12_17_11_00_11_15,fullset,BOTH,96,299.3,0,True,0.8000,0.631040,0.1690
25_12_17_14_00_14_15,fullset,BOTH,98,391.8,0,True,0.4000,0.531245,-0.1312
25_12_17_15_00_15_15,fullset,BOTH,98,46.0,0,True,0.4000,0.636980,-0.2370
25_12_17_16_00_16_15,fullset,BOTH,98,377.1,0,True,0.4000,0.585305,-0.1853
25_12_17_19_00_19_15,directional,DOWN,92,467.2,-1,True,0.8000,0.014720,0.7853
25_12_17_22_00_22_15,fullset,BOTH,98,159.9,0,True,0.4000,0.615780,-0.2158
25_12_18_00_00_00_15,fullset,BOTH,96,64.7,0,True,0.8000,0.608640,0.1914
25_12_18_02_00_02_15,fullset,BOTH,98,72.1,0,True,0.4000,0.569405,-0.1694
25_12_18_03_00_03_15,fullset,BOTH,92,23.6,0,True,1.6000,0.659520,0.9405
25_12_18_05_00_05_15,fullset,BOTH,98,64.2,0,True,0.4000,0.634860,-0.2349
