window_id,trade_type,side,entry_price,entry_time,reversal_score,won,gross_pnl,fee,net_pnl
25_11_23_10_00_10_15,directional,DOWN,93,550.1,-1,True,0.7000,0.011392,0.6886
25_11_23_13_00_13_15,fullset,BOTH,98,197.9,0,True,0.4000,0.560660,-0.1607
25_11_23_14_00_14_15,fullset,BOTH,95,567.4,0,True,1.0000,0.509062,0.4909
25_11_23_20_00_20_15,fullset,BOTH,96,427.1,0,True,0.8000,0.644480,0.1555
25_11_24_02_00_02_15,fullset,BOTH,96,73.3,0,True,0.8000,0.646440,0.1536
25_11_24_07_00_07_15,fullset,BOTH,98,414.5,0,True,0.4000,0.624260,-0.2243
25_11_24_08_00_08_15,directional,DOWN,92,542.3,-1,True,0.8000,0.014720,0.7853
25_11_24_09_00_09_15,directional,DOWN,94,505.0,-1,True,0.6000,0.008460,0.5915
25_11_24_11_00_11_15,directional,DOWN,93,509.4,-1,False,-9.3000,0.011392,-9.3114
25_11_24_12_00_12_15,directional,DOWN,94,539.5,-1,True,0.6000,0.008460,0.5915
25_11_24_13_00_13_15,directional,UP,92,424.1,-1,True,0.8000,0.014720,0.7853
25_11_24_15_00_15_15,fullset,BOTH,98,121.4,0,True,0.4000,0.605180,-0.2052
25_11_24_16_00_16_15,fullset,BOTH,98,117.5,0,True,0.4000,0.520380,-0.1204
25_11_24_18_00_18_15,fullset,BOTH,98,368.6,0,True,0.4000,0.633005,-0.2330
25_11_24_22_00_22_15,fullset,BOTH,98,12.6,0,True,0.4000,0.633005,-0.2330
25_11_25_02_00_02_15,fullset,BOTH,92,102.0,0,True,1.6000,0.669440,0.9306
25_11_25_05_00_05_15,fullset,BOTH,96,324.0,0,True,0.8000,0.536960,0.2630
25_11_25_09_00_09_15,fullset,BOTH,97,500.8,0,True,0.6000,0.607133,-0.0071
25_11_25_16_00_16_15,directional,DOWN,92,564.7,-1,True,0.8000,0.014720,0.7853
25_11_25_20_00_20_15,fullset,BOTH,98,442.9,0,True,0.4000,0.484605,-0.0846
25_11_25_21_00_21_15,fullset,BOTH,98,349.8,0,True,0.4000,0.585305,-0.1853
25_11_26_02_00_02_15,fullset,BOTH,98,121.8,0,True,0.4000,0.620285,-0.2203
25_11_26_05_00_05_15,fullset,BOTH,98,15.8,0,True,0.4000,0.636980,-0.2370
25_11_26_08_00_08_15,directional,DOWN,95,481.0,-1,True,0.5000,0.005938,0.4941
25_11_26_14_00_14_15,fullset,BOTH,98,302.8,0,True,0.4000,0.484605,-0.0846
25_11_26_16_00_16_15,directional,UP,94,313.5,-1,True,0.6000,0.008460,0.5915
25_11_26_17_00_17_15,fullset,BOTH,98,181.0,0,True,0.4000,0.627705,-0.2277
25_11_26_19_00_19_15,directional,DOWN,95,495.0,-1,True,0.5000,0.005938,0.4941
