window_id,side,first_touch_time,entry_time,entry_price,spike_min,spike_max,exit_reason,exit_time,exit_price,pnl_per_share,pnl_invested,winner_at_settle,time_held,sl_triggered,tp_triggered,dynamic_sl_level
25_12_05_12_30_12_45,DOWN,2642.655,2652.655,91,90,98,TAKE_PROFIT,2653.138,97,0.06,0.0659,DOWN,0.48,False,True,86
25_12_05_12_45_13_00,UP,3427.152,3437.152,93,93,94,STOP_LOSS,3442.807,85,-0.08,-0.086,UP,5.65,True,False,86
25_12_05_14_00_14_15,UP,510.799,520.799,91,92,93,STOP_LOSS,536.582,82,-0.09,-0.0989,UP,15.78,True,False,86
25_12_05_14_30_14_45,DOWN,2394.172,2404.172,93,90,95,TAKE_PROFIT,2416.55,97,0.04,0.043,DOWN,12.38,False,True,86
25_12_05_15_30_15_45,DOWN,2444.718,2454.718,92,89,95,TAKE_PROFIT,2491.862,97,0.05,0.0543,DOWN,37.14,False,True,86
25_12_05_17_15_17_30,UP,1242.518,1252.518,91,90,93,STOP_LOSS,1269.834,85,-0.06,-0.0659,UP,17.32,True,False,86
25_12_05_17_45_18_00,UP,3124.094,3134.094,91,90,94,TAKE_PROFIT,3148.154,97,0.06,0.0659,UP,14.06,False,True,86
25_12_05_18_45_19_00,DOWN,3503.089,3513.089,91,93,99,TAKE_PROFIT,3513.612,97,0.06,0.0659,DOWN,0.52,False,True,86
25_12_05_19_00_19_15,UP,652.569,662.569,91,90,94,TAKE_PROFIT,704.565,97,0.06,0.0659,UP,42.0,False,True,86
25_12_05_19_30_19_45,UP,2447.464,2457.464,91,88,93,TAKE_PROFIT,2530.759,97,0.06,0.0659,UP,73.3,False,True,86
25_12_05_20_15_20_30,DOWN,1585.726,1595.726,91,90,93,TAKE_PROFIT,1727.424,97,0.06,0.0659,DOWN,131.7,False,True,86
25_12_05_20_45_21_00,UP,3581.929,3591.929,91,91,99,TAKE_PROFIT,3592.652,97,0.06,0.0659,UP,0.72,False,True,86
25_12_05_21_30_21_45,DOWN,2258.606,2268.606,91,90,94,TAKE_PROFIT,2280.047,97,0.06,0.0659,DOWN,11.44,False,True,86
25_12_05_22_00_22_15,DOWN,670.18,680.18,92,90,93,TAKE_PROFIT,721.412,97,0.05,0.0543,DOWN,41.23,False,True,86
25_12_05_23_15_23_30,UP,1632.274,1642.274,91,92,95,TAKE_PROFIT,1646.218,97,0.06,0.0659,UP,3.94,False,True,86
25_12_06_00_45_01_00,DOWN,3574.863,3584.863,91,88,99,TAKE_PROFIT,3585.999,97,0.06,0.0659,DOWN,1.14,False,True,86
25_12_06_01_15_01_30,UP,1359.521,1369.521,91,89,93,STOP_LOSS,1419.237,85,-0.06,-0.0659,UP,49.72,True,False,86
25_12_06_01_45_02_00,UP,3507.558,3517.558,91,89,99,TAKE_PROFIT,3519.498,97,0.06,0.0659,UP,1.94,False,True,86
25_12_06_02_00_02_15,DOWN,328.779,338.779,91,90,93,TAKE_PROFIT,356.717,97,0.06,0.0659,DOWN,17.94,False,True,86
25_12_06_02_30_02_45,DOWN,2454.336,2464.336,91,90,95,TAKE_PROFIT,2501.886,97,0.06,0.0659,DOWN,37.55,False,True,86
25_12_06_02_45_03_00,UP,3109.399,3119.399,91,90,93,STOP_LOSS,3153.603,84,-0.07,-0.0769,UP,34.2,True,False,86
25_12_06_03_00_03_15,UP,247.511,257.51099999999997,91,92,94,TAKE_PROFIT,369.071,97,0.06,0.0659,UP,111.56,False,True,86
