d_cents,chase_timeout_secs,max_pair_cost_cents,fill_model,total_pairs,profitable_pairs,profit_rate,chase_completed,total_unwinds,avg_pair_cost,avg_edge_cents,gross_edge_cents,unwind_loss_cents,net_pnl_cents,l1_distance,overlap_pct
4,30.0,102,maker_at_bid,1902,1323,0.6956,1902,1936,97.67,2.33,4434,-32225,-27791,1.244,37.8
4,30.0,104,maker_at_bid,1958,1323,0.6757,1958,1885,97.91,2.09,4084,-31963,-27879,1.232,38.4
5,10.0,98,maker_at_bid,355,333,0.938,355,2353,93.73,6.27,2226,-23382,-21156,1.3827,30.87
5,10.0,100,maker_at_bid,366,331,0.9044,366,2342,93.95,6.05,2213,-23339,-21126,1.3155,34.22
5,10.0,102,maker_at_bid,369,331,0.897,369,2339,94.04,5.96,2200,-23331,-21131,1.3009,34.96
5,10.0,104,maker_at_bid,369,331,0.897,369,2339,94.05,5.95,2197,-23331,-21134,1.3009,34.96
5,15.0,98,maker_at_bid,528,506,0.9583,528,2093,94.33,5.67,2994,-23594,-20600,1.4335,28.32
5,15.0,100,maker_at_bid,539,496,0.9202,539,2082,94.5,5.5,2962,-23562,-20600,1.3586,32.07
5,15.0,102,maker_at_bid,544,496,0.9118,544,2077,94.6,5.4,2940,-23549,-20609,1.3423,32.89
5,15.0,104,maker_at_bid,545,496,0.9101,545,2076,94.63,5.37,2928,-23544,-20616,1.339,33.05
5,20.0,98,maker_at_bid,694,676,0.9741,694,1842,94.79,5.21,3615,-24124,-20509,1.4717,26.41
5,20.0,100,maker_at_bid,718,657,0.915,718,1817,95.08,4.92,3534,-24053,-20519,1.3742,31.29
5,20.0,102,maker_at_bid,729,657,0.9012,729,1806,95.22,4.78,3482,-24021,-20539,1.3316,33.42
5,20.0,104,maker_at_bid,736,657,0.8927,736,1801,95.34,4.66,3427,-23952,-20525,1.3149,34.25
5,30.0,98,maker_at_bid,958,935,0.976,958,1470,95.59,4.41,4226,-23502,-19276,1.4873,25.64
5,30.0,100,maker_at_bid,1030,840,0.8155,1030,1403,96.17,3.83,3947,-23324,-19377,1.3907,30.47
5,30.0,102,maker_at_bid,1060,840,0.7925,1060,1373,96.46,3.54,3751,-23269,-19518,1.2776,36.12
5,30.0,104,maker_at_bid,1080,840,0.7778,1080,1356,96.66,3.34,3607,-23138,-19531,1.2737,36.32
