window_id,side,buy_price,buy_time,sell_price,sell_time,pnl_cents
25_11_01_02_00_02_15,DOWN,47,63.592,35,93.811,-12
25_11_01_02_00_02_15,UP,41,131.43,26,161.936,-15
25_11_01_02_00_02_15,DOWN,77,242.372,72,273.534,-5
25_11_01_03_00_03_15,DOWN,60,2.568,45,32.746,-15
25_11_01_03_00_03_15,DOWN,42,110.866,43,142.606,1
25_11_01_04_00_04_15,DOWN,47,62.273,32,92.415,-15
25_11_01_04_00_04_15,DOWN,42,166.568,24,196.837,-18
25_11_01_04_00_04_15,DOWN,25,717.239,11,750.106,-14
25_11_01_04_00_04_15,DOWN,5,860.227,0,867.121,-5
25_11_01_05_00_05_15,DOWN,48,8.173,35,38.689,-13
25_11_01_05_00_05_15,UP,7,333.171,6,363.252,-1
25_11_01_06_00_06_15,UP,14,498.236,2,543.947,-12
25_11_01_07_00_07_15,DOWN,43,8.285,31,38.745,-12
25_11_01_07_00_07_15,DOWN,46,250.081,32,281.475,-14
25_11_01_07_00_07_15,UP,92,401.483,87,435.548,-5
25_11_01_07_00_07_15,DOWN,9,477.556,4,514.862,-5
25_11_01_08_00_08_15,DOWN,46,3.234,30,33.312,-16
25_11_01_08_00_08_15,DOWN,34,33.355,17,63.62,-17
25_11_01_08_00_08_15,UP,78,177.759,74,217.126,-4
25_11_01_08_00_08_15,DOWN,23,264.176,17,296.248,-6
25_11_01_09_00_09_15,UP,45,18.478,36,49.82,-9
25_11_01_09_00_09_15,UP,34,54.788,19,84.883,-15
25_11_01_09_00_09_15,UP,20,402.504,14,433.843,-6
25_11_01_09_00_09_15,DOWN,82,686.652,76,716.73,-6
25_11_01_09_00_09_15,UP,2,859.585,0,882.377,-2
25_11_01_10_00_10_15,DOWN,26,149.496,9,179.634,-17
25_11_01_10_00_10_15,UP,67,350.326,56,382.637,-11
25_11_01_10_00_10_15,UP,57,441.135,47,471.354,-10
25_11_01_11_00_11_15,DOWN,44,13.067,34,45.359,-10
25_11_01_11_00_11_15,DOWN,31,89.267,25,124.485,-6
25_11_01_11_00_11_15,UP,60,226.547,54,256.584,-6
25_11_01_11_00_11_15,DOWN,22,363.651,11,404.026,-11
