episode_id,market_id,window_id,start_ts,end_ts,total_trades,net_up,net_down,matched_shares,avg_cost_matched,has_merge,has_redeem,merge_delay_s,label,confidence,realized_pnl,realized_via,is_realized
unknown,0x1ae91b6da3404a0029d6dd95e0aa8470aa6c92620f4046cf97145a7c2f98fada,,,,0,0.0,0.0,0,0.0,False,True,,HYBRID,0.2,,REDEEM_UNKNOWN,False
unknown,0x7d87ebcd9590620c06f2330520c90db2c47b13cd0aed135c5ae0887e2924cfb8,,,,0,0.0,0.0,0,0.0,False,True,,HYBRID,0.2,,REDEEM_UNKNOWN,False
unknown,0x0071ab1c503fe53faf64dc8beaf06c03f58142633c9c342d81881c5682268a5a,,,,0,0.0,0.0,0,0.0,False,True,,HYBRID,0.2,,REDEEM_UNKNOWN,False
unknown,0x7f947ba03492c4c47949945797b2316e02628107b0478779edb2de0079bb0e75,,,,0,0.0,0.0,0,0.0,False,True,,HYBRID,0.2,,REDEEM_UNKNOWN,False
unknown,0x95d635257a85d0204a450cdf19adbb5873465f9d26f49cb1375a1084625f53c9,,,,0,0.0,0.0,0,0.0,False,True,,HYBRID,0.2,,REDEEM_UNKNOWN,False
0x75d11daba9a556ef4b_2026-01-05T21:30:31,0x75d11daba9a556ef4bf2162a908be88a8452a2345e540f5b20d7ac6aed75db26,btc-updown-15m-1767628800,2026-01-05T21:30:31,2026-01-05T21:44:37,28405,2200110.839999842,2721535.960000251,2200110.839999842,0.8337338276112363,False,False,,FULL_SET_ARB,0.7,,,False
0xfddeb39295224a0df9_2026-01-05T21:30:43,0xfddeb39295224a0df921cd81e9b1303765db973f2126a611b90c40850d827172,,2026-01-05T21:30:43,2026-01-05T22:02:09,21210,584937.7800000296,303863.29999998625,303863.29999998625,1.194426852370161,False,False,,MARKET_MAKING,0.30000000000000004,,,False
0x7f6694ca8c1f5381c2_2026-01-05T21:31:49,0x7f6694ca8c1f5381c27cb3418234b8c75fdcd6e1a0bf45a4081284418988e08b,,2026-01-05T21:31:49,2026-01-05T21:51:29,8272,0.0,814569.139999993,0,0.0,False,False,,DIRECTIONAL_SPIKE,0.3,,,False
0xc3592d0e1702033224_2026-01-05T21:32:17,0xc3592d0e17020332244e16dbf10ab7737ae0dfee350bfb3cd61c3b0c1f628ce1,,2026-01-05T21:32:17,2026-01-05T21:43:45,12707,706500.0799999502,327242.04000001046,327242.04000001046,1.0156252590107093,False,False,,MARKET_MAKING,0.30000000000000004,,,False
0x569c783ebee88accb2_2026-01-05T21:35:13,0x569c783ebee88accb2ee5f69b621b8b7a4f9f436735e1c61d5373e08d9169a6c,,2026-01-05T21:35:13,2026-01-05T21:35:41,2994,401196.0,200598.0,200598.0,1.1348756218905496,False,False,,MARKET_MAKING,0.30000000000000004,,,False
0xd9d55759af27d01e30_2026-01-05T21:45:07,0xd9d55759af27d01e30920a9d9727de3f971968ddcb7ad4976699214d4c7565f7,,2026-01-05T21:45:07,2026-01-05T21:57:11,10978,483032.0,316625.4800000093,316625.4800000093,0.9237497636007438,False,False,,MARKET_MAKING,0.30000000000000004,,,False
0xe06414ca91f948648e_2026-01-05T21:45:35,0xe06414ca91f948648ef7b2d1f3e04463029c89d818454ee2a06a308d145e97f7,btc-updown-15m-1767629700,2026-01-05T21:45:35,2026-01-05T21:57:59,18962,1174196.8999999668,1478487.1000000918,1174196.8999999668,1.2536205498445065,False,False,,FULL_SET_ARB,0.4,,,False
0x569c783ebee88accb2_2026-01-05T21:48:59,0x569c783ebee88accb2ee5f69b621b8b7a4f9f436735e1c61d5373e08d9169a6c,,2026-01-05T21:48:59,2026-01-05T21:53:15,2994,192314.6000000023,8063.840000000094,8063.840000000094,1.3172772277227576,False,False,,MARKET_MAKING,0.30000000000000004,,,False
0x86bf8778199e33449f_2026-01-05T22:05:31,0x86bf8778199e33449f9777fe31127e0d8c919db1ab58a8241173af481abbcd8d,,2026-01-05T22:05:31,2026-01-05T22:14:05,8982,611105.340000056,941463.2999999768,611105.340000056,0.5886806233403619,False,False,,MARKET_MAKING,0.30000000000000004,,,False
0x7f6694ca8c1f5381c2_2026-01-05T22:05:39,0x7f6694ca8c1f5381c27cb3418234b8c75fdcd6e1a0bf45a4081284418988e08b,,2026-01-05T22:05:39,2026-01-05T22:05:39,998,70858.0,0.0,0,0.0,False,False,,DIRECTIONAL_SPIKE,0.3,,,False
0x569c783ebee88accb2_2026-01-05T22:15:31,0x569c783ebee88accb2ee5f69b621b8b7a4f9f436735e1c61d5373e08d9169a6c,,2026-01-05T22:15:31,2026-01-05T22:21:11,2994,601794.0,0.0,0,0.0,False,False,,DIRECTIONAL_SPIKE,0.3,,,False
0x7f6694ca8c1f5381c2_2026-01-05T22:17:05,0x7f6694ca8c1f5381c27cb3418234b8c75fdcd6e1a0bf45a4081284418988e08b,,2026-01-05T22:17:05,2026-01-05T22:17:05,998,199600.0,0.0,0,0.0,False,False,,DIRECTIONAL_SPIKE,0.3,,,False
0x377fcc2bd13caf219f_2026-01-05T22:17:35,0x377fcc2bd13caf219f104ecaa5149e230e78a173fbfa572928ff6843dec1fc75,,2026-01-05T22:17:35,2026-01-05T22:29:17,14970,1265404.1200000213,600905.780000003,600905.780000003,0.9541566089446094,False,False,,MARKET_MAKING,0.30000000000000004,,,False
0xe2e221c5b92dbc6ebf_2026-01-05T22:18:57,0xe2e221c5b92dbc6ebf112bbd35cde1a131d681fa7b16ee5340c225d2cef683b9,,2026-01-05T22:18:57,2026-01-05T22:19:11,1996,65748.23999999888,120758.0,65748.23999999888,0.9100000000000188,False,False,,MARKET_MAKING,0.30000000000000004,,,False
0x02eeaccd08d519c28d_2026-01-05T22:31:33,0x02eeaccd08d519c28d33c4ea3adb5415c9dbc3e79f6252433ff023525eea5abb,,2026-01-05T22:31:33,2026-01-05T22:31:43,1996,0.0,108472.61999999986,0,0.0,False,False,,DIRECTIONAL_SPIKE,0.3,,,False
0xc4fba04be7aae3fc11_2026-01-05T22:31:43,0xc4fba04be7aae3fc1151ef68c87626dcb24a92f5c7c5beadec64d8d5c3b2340c,btc-updown-15m-1767632400,2026-01-05T22:31:43,2026-01-05T22:43:23,9980,913179.9800000093,562672.3999999884,562672.3999999884,0.9426744608140858,False,False,,MARKET_MAKING,0.30000000000000004,,,False
0x85c33bef5eed2c25e8_2026-01-05T22:41:59,0x85c33bef5eed2c25e86916dd1f73c68e8e5b6c853b3dcb416cb04e66faeb2598,,2026-01-05T22:41:59,2026-01-05T22:43:01,4990,387233.98000000906,0.0,0,0.0,False,False,,DIRECTIONAL_SPIKE,0.3,,,False
0xca7110a056195a7f49_2026-01-05T22:49:37,0xca7110a056195a7f4960e7cd53daf54d70c9a18a5f7fe63235ec3edae9c33849,,2026-01-05T22:49:37,2026-01-05T22:49:37,998,0.0,149700.0,0,0.0,False,False,,DIRECTIONAL_SPIKE,0.3,,,False
0xb6c72637773c8fe1ae_2026-01-05T22:51:51,0xb6c72637773c8fe1aee6e18b3d095f9c99053393e68ddcec1326e3ec5e86359e,btc-updown-15m-1767633300,2026-01-05T22:51:51,2026-01-05T22:51:51,998,0.0,247603.800000004,0,0.0,False,False,,DIRECTIONAL_SPIKE,0.3,,,False
0xe21e9f2d029249025a_2026-01-05T23:02:23,0xe21e9f2d029249025a3a4df2d2d930bff43a693558888e4262e5bf8dd461720a,,2026-01-05T23:02:23,2026-01-05T23:02:23,998,47904.0,0.0,0,0.0,False,False,,DIRECTIONAL_SPIKE,0.3,,,False
0xca7110a056195a7f49_2026-01-05T23:09:35,0xca7110a056195a7f4960e7cd53daf54d70c9a18a5f7fe63235ec3edae9c33849,,2026-01-05T23:09:35,2026-01-05T23:15:45,12974,584818.0199999933,44590.639999999534,44590.639999999534,0.9747759395553504,False,False,,MARKET_MAKING,0.30000000000000004,,,False
0xaa129ffb9d5aa4bad8_2026-01-05T23:10:43,0xaa129ffb9d5aa4bad8a2d175a0f902b8794d6d59434e83d70be2453e8ad2e0d5,,2026-01-05T23:10:43,2026-01-05T23:13:39,6986,1008049.8599999236,0.0,0,0.0,False,False,,DIRECTIONAL_SPIKE,0.3,,,False
0x715fc33c2a8592438e_2026-01-05T23:15:15,0x715fc33c2a8592438e13e0e494f3352bafbdac4efe1831a65040114d051f5410,,2026-01-05T23:15:15,2026-01-05T23:19:25,14970,1073907.880000073,241516.0,241516.0,1.1619141125958472,False,False,,MARKET_MAKING,0.30000000000000004,,,False
0x0d20923057cc9bc6a3_2026-01-05T23:15:17,0x0d20923057cc9bc6a32c623023cd8c42acc37c156a9a7ba2bd339003ea4da3dd,btc-updown-15m-1767635100,2026-01-05T23:15:17,2026-01-05T23:19:01,1996,255488.0,0.0,0,0.0,False,False,,DIRECTIONAL_SPIKE,0.3,,,False
0x02eeaccd08d519c28d_2026-01-05T23:16:23,0x02eeaccd08d519c28d33c4ea3adb5415c9dbc3e79f6252433ff023525eea5abb,,2026-01-05T23:16:23,2026-01-05T23:26:49,51896,2339172.280000003,779986.9000001166,779986.9000001166,1.2041046622373834,False,False,,MARKET_MAKING,0.30000000000000004,,,False
0xf1159784b32cf200de_2026-01-05T23:30:07,0xf1159784b32cf200de71cf8350cd85b5bb278be9b2a69b0b8b22f2a93fa74031,,2026-01-05T23:30:07,2026-01-05T23:35:11,9980,729538.0,185628.0,185628.0,1.0313851992408836,False,False,,MARKET_MAKING,0.30000000000000004,,,False
0xbe240c6b934ba76b0a_2026-01-05T23:30:09,0xbe240c6b934ba76b0aebf64a4af0006f25ded7a27e85d27f699b4509d58dcd5d,,2026-01-05T23:30:09,2026-01-05T23:34:03,10978,452094.0,459968.2199999849,452094.0,1.0722947381248202,False,False,,FULL_SET_ARB,0.4,,,False
0x60cb38ae60f3937e1d_2026-01-05T23:30:19,0x60cb38ae60f3937e1dd1cef2f71495414d3cf19a6377d1dbe31d67d0eab5b6f8,,2026-01-05T23:30:19,2026-01-05T23:31:13,14970,0.0,1830012.6399999924,0,0.0,False,False,,DIRECTIONAL_SPIKE,0.3,,,False
0xa788ab5be810096617_2026-01-05T23:30:21,0xa788ab5be810096617c6596285903b248f7d100055b764a9eef2cac26c811e2c,btc-updown-15m-1767636000,2026-01-05T23:30:21,2026-01-05T23:33:47,2994,73033.6399999994,130508.46000000132,73033.6399999994,1.2350806231210631,False,False,,MARKET_MAKING,0.30000000000000004,,,False
0x7b7829c8c6b56b9739_2026-01-05T23:30:49,0x7b7829c8c6b56b9739c2786dedfa5ad85f05ece61a7f7819070f89f7b6477803,,2026-01-05T23:30:49,2026-01-06T00:00:09,31936,848290.0200000488,775206.4799999472,775206.4799999472,1.2432134087621205,False,False,,FULL_SET_ARB,0.4,,,False
